8990,27/07/2023,24/12/2023,11:07:54,009495MA37001,I-FREE,37,NEGRO NEGRO TODOTERRENO,97.00,CAJAMARCA,CARLITOS,CAJAMARCA,140.00,efectivo,,
8991,11/11/2023,24/12/2023,11:08:10,009850MA41002,NEW ATHLETIC,41,NEGRO NEGRO TO-TERRENO,112.00,CAJAMARCA,CARLITOS,CAJAMARCA,153.00,efectivo,,
8752,05/12/2023,22/12/2023,11:08:17,009936MA37001,I-RUN,37,NEGRO ROSADA MALLA,100.00,CAJAMARCA,JACK,CAJAMARCA,143.00,efectivo,,
8837,03/12/2023,23/12/2023,11:11:08,009930MA27001,KITS NSEVEN,27,BEIG MARRON URBANO,72.00,CAJAMARCA,FRAN,CAJAMARCA,100.00,electronico,YAPE,
8992,17/12/2023,24/12/2023,11:11:18,009874MA41001,KALOIS,41,BOTIN NEGRO NOBUK-GRAVADO,98.00,CAJAMARCA,KEVIN,CAJAMARCA,175.00,efectivo,,
9160,09/09/2023,25/12/2023,11:12:41,009666MA34001,VIERI,34,BLANCO DORADO DEPORTIVO,92.00,CAJAMARCA,KEVIN,CAJAMARCA,124.00,efectivo,,
9161,05/07/2023,25/12/2023,11:13:50,007548MA40002,KALOUIS,40,BOTIN HABANO LUSTRABLE- GRABADO,92.00,CAJAMARCA,PAMELA,CAJAMARCA,168.00,efectivo,,
8993,19/07/2023,24/12/2023,11:14:16,009423MA40003,IVANO,40,VERDE-PETRO GAMUZA NUEVO,72.00,CAJAMARCA,PAMELA,CAJAMARCA,125.00,efectivo,,
8639,21/12/2019,20/12/2023,11:15:30,003078MA39001,NEW ATHLETIC,39,BURBUJA AZUL,100.00,CAJAMARCA,DIEGO,CAJAMARCA,145.00,efectivo,,
8994,02/03/2022,24/12/2023,11:19:42,007004MA40002,NEEK,40,BOTIN AZUL BLANCO,111.00,CAJAMARCA,CARLITOS,CAJAMARCA,140.00,efectivo,,
8995,23/04/2021,24/12/2023,11:21:17,005489MA42001,NEEK,42,BOTIN BLANCO AZUL,107.00,CAJAMARCA,DIEGO,CAJAMARCA,140.00,efectivo,,
8996,19/12/2023,24/12/2023,11:21:49,010003MA36002,I-FREE,36,AZUL ACERO TODOTERRENO,87.00,CAJAMARCA,JACK,CAJAMARCA,135.00,efectivo,,
8997,08/11/2023,24/12/2023,11:23:35,009848MA40001,PUNTO,40,NEGRO PLOMO PREMIUN,109.00,CAJAMARCA,KEVIN,CAJAMARCA,148.00,efectivo,,
8599,05/12/2023,19/12/2023,11:25:19,009947MA37001,PUNTO,37,BLANCO UVA-FIBRA URBANA,107.00,CAJAMARCA,PAMELA,CAJAMARCA,150.00,electronico,YAPE,
8698,18/08/2023,21/12/2023,11:25:30,009571MA42001,KAIDA,42,NEGRO NEGRO BOTIN,110.00,CAJAMARCA,CARLITOS,CAJAMARCA,160.00,efectivo,,
8998,01/12/2023,24/12/2023,11:27:08,009897MA37001,DROMEDAR,37,BOTIN BLANCO ROJO,90.00,CAJAMARCA,FRAN,CAJAMARCA,130.00,efectivo,,
8999,19/10/2023,24/12/2023,11:30:03,009753MA28001,DORAEMON,28,BOTIN AZUL-CESTE BLANCO,77.00,CAJAMARCA,FRAN,CAJAMARCA,113.00,efectivo,,
8838,20/12/2023,23/12/2023,11:31:03,010030MA36001,DROMEDAR,36,BOTIN NEGRO ROJO,92.00,CAJAMARCA,CARLITOS,CAJAMARCA,130.00,efectivo,,
8839,20/12/2023,23/12/2023,11:31:28,010020MA26001,VADY-KITS,26,BOTIN PLOMO ROJO-NEGRO,77.00,CAJAMARCA,PAMELA,CAJAMARCA,110.00,efectivo,,
9000,07/12/2023,24/12/2023,11:32:17,009960MA37001,PUNTO,37,BLANCO ACERO URBANA-FIBRA,117.00,CAJAMARCA,FRAN,CAJAMARCA,150.00,efectivo,,
9001,23/12/2023,24/12/2023,11:32:28,010052MA31002,IVANO,31,AZULMARINO BLANCO NUEVO,68.00,CAJAMARCA,FRAN,CAJAMARCA,113.00,efectivo,,
8640,19/10/2021,20/12/2023,11:32:35,006238MA40003,KALOUIS,40,MOCASIN HABANO LUSTRABLE,82.00,CAJAMARCA,PAMELA,CAJAMARCA,145.00,efectivo,,
9002,20/12/2023,24/12/2023,11:32:38,009860MA40002,IVANO,40,NEGRO BLANCO NUEVO-PICADO,88.00,CAJAMARCA,FRAN,CAJAMARCA,130.00,efectivo,,
9163,09/02/2023,25/12/2023,11:33:18,008713MA30001,KIDS,30,BLANCO VERDE URBANA,72.00,CAJAMARCA,KEVIN,CAJAMARCA,105.00,efectivo,CAMBIO,
8567,28/08/2023,18/12/2023,11:35:01,009585MA30001,RASE DUCK,30,ROSADO BLANCO URBANA,75.00,CAJAMARCA,CARLITOS,CAJAMARCA,108.00,electronico,IZIPAY,
9003,26/11/2020,24/12/2023,11:37:51,004571MA42001,IVANO,42,VANS NEGRO NEGRO,87.00,CAJAMARCA,JACK,CAJAMARCA,120.00,efectivo,,
8641,23/03/2023,20/12/2023,11:38:14,008905MA41001,IVANO,41,NEGRO BLANCO CLASICO,82.00,CAJAMARCA,CARLITOS,CAJAMARCA,120.00,efectivo,,
8840,05/12/2023,23/12/2023,11:38:19,009936MA38002,I-RUN,38,NEGRO ROSADA MALLA,100.00,CAJAMARCA,CARLITOS,CAJAMARCA,145.00,efectivo,,
8753,20/10/2023,22/12/2023,11:38:30,009786MA39002,ADIDAS-NACIONAL,39,NEGRO BLANCO CAMPUS,57.00,CAJAMARCA,PAMELA,CAJAMARCA,125.00,efectivo,,
8642,06/11/2023,20/12/2023,11:38:53,009831MA35001,KOREANA,35,NEISH NEGRO,80.00,CAJAMARCA,JACK,CAJAMARCA,130.00,efectivo,YAPE 30,
8699,28/07/2023,21/12/2023,11:40:26,009529MA40002,CAT NACIONAL,40,NEGRO BLANCO BOTIN,118.00,CAJAMARCA,JACK,CAJAMARCA,175.00,efectivo,,
8754,21/12/2023,22/12/2023,11:40:58,010037MA34001,NEW ATHLETIC,34,TOBILLERRA PLOMO LIMON-DEPORTIVO,98.00,CAJAMARCA,JACK,CAJAMARCA,138.00,efectivo,,
9004,27/07/2023,24/12/2023,11:43:49,009492MA43001,I-FREE,43,NEGRO NEGRO TODOTERRENO,97.00,CAJAMARCA,DIEGO,CAJAMARCA,144.00,efectivo,,
8841,30/08/2023,23/12/2023,11:44:17,009635MA41001,ANDALOZ,41,CARAMELO LUSTRABLE TACO,80.00,CAJAMARCA,FRAN,CAJAMARCA,120.00,efectivo,,
9005,15/08/2023,24/12/2023,11:44:32,009564MA43001,I-FREE,43,AZULMARINO ACERO TODOTERRENO,97.00,CAJAMARCA,DIEGO,CAJAMARCA,144.00,efectivo,,
8600,05/12/2023,19/12/2023,11:45:37,009943MA40002,UNTRALON,40,NEGRO PLOMO CUERO,117.00,CAJAMARCA,JACK,CAJAMARCA,160.00,electronico,TRANSFERENCIA,
8842,30/11/2023,23/12/2023,11:45:49,009880MA35001,KAFEIMAO,35,ROSADO LILA PERILLA,77.00,CAJAMARCA,PAMELA,CAJAMARCA,123.00,efectivo,,
8601,07/12/2023,19/12/2023,11:46:08,009962MA40001,PUNTO,40,BLANCO PLOMO URBANA-FIBRA,117.00,CAJAMARCA,JACK,CAJAMARCA,148.00,electronico,TRANSFERENCIA,
9006,16/07/2023,24/12/2023,11:46:50,009392MA38001,I-RUN,38,PLOMO JADE BLANCO,87.00,CAJAMARCA,CARLITOS,CAJAMARCA,130.00,efectivo,,
8700,20/12/2023,21/12/2023,11:47:48,010011MA40001,I-FREE,40,NEGRO PLOMO TODOTERRENO,98.00,CAJAMARCA,CARLITOS,CAJAMARCA,140.00,efectivo,,
9007,27/07/2023,24/12/2023,11:50:06,009492MA40001,I-FREE,40,NEGRO NEGRO TODOTERRENO,97.00,CAJAMARCA,JACK,CAJAMARCA,145.00,efectivo,,
9008,25/08/2023,24/12/2023,11:50:40,009583MA40001,ADDALOS,40,BOTIN NEGRO LUSTRABLE,92.00,CAJAMARCA,FRAN,CAJAMARCA,135.00,efectivo,,
8701,20/10/2023,21/12/2023,11:51:29,009785MA41001,ADIDAS-NACIONAL,41,NEGRO,57.00,CAJAMARCA,PAMELA,CAJAMARCA,120.00,efectivo,,
8602,29/08/2023,19/12/2023,11:57:12,009600MA42001,KOREANO,42,NEGRO HUESO URBANA,102.00,CAJAMARCA,JACK,CAJAMARCA,140.00,efectivo,,
9164,17/12/2023,25/12/2023,11:57:20,009421MA41002,IVANO,41,NEGRO GAMUZA GUINDO-NUEVO,72.00,CAJAMARCA,JACK,CAJAMARCA,125.00,efectivo,,
9165,07/06/2022,25/12/2023,11:58:06,007510MA36001,CAT NACIONAL,36,AMARILLO BOTIN NOBUK,85.00,CAJAMARCA,JACK,CAJAMARCA,140.00,efectivo,,
8843,09/09/2023,23/12/2023,11:58:39,009676MA38001,CAT NACIONAL,38,NEGRO-PLOMO NOBUK BAJO,87.00,CAJAMARCA,CARLITOS,CAJAMARCA,155.00,electronico,YAPE,
9166,04/03/2022,25/12/2023,11:59:00,007032MA42001,NEW ATHLETIC,42,TOBILLERA ROJO AZUL,111.00,CAJAMARCA,PAMELA,CAJAMARCA,150.00,efectivo,,
8643,23/04/2022,20/12/2023,11:59:08,007191MA41001,RAGGIO PREMIUM,41,BOTIN DUNKAN LIMON,118.00,CAJAMARCA,PAMELA,CAJAMARCA,188.00,efectivo,,
8844,17/06/2023,23/12/2023,11:59:08,009228MA38001,UNDER MACK,38,BOTIN NEGRO PLOMO,96.00,CAJAMARCA,CARLITOS,CAJAMARCA,160.00,electronico,YAPE,
8755,28/03/2023,22/12/2023,12:03:11,008949MA37001,YOU,37,BLANCO PLOMO TACON,102.00,CAJAMARCA,PAMELA,CAJAMARCA,142.00,efectivo,,
8702,18/10/2023,21/12/2023,12:04:44,009731MA41001,WALKING,41,NEGRO BLANCO URBANA,90.00,CAJAMARCA,JACK,CAJAMARCA,143.00,efectivo,,
